anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Placeholder,dense_numpy,Where did Super Bowl 50 take place?,"Santa Clara, California",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Placeholder,dense_numpy,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Placeholder,dense_numpy,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Placeholder,dense_numpy,Where was Super Bowl 50 held?,"Santa Clara, California.",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Placeholder,dense_numpy,The name of the NFL championship game is?,Super Bowl,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl 50
Placeholder,dense_numpy,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Placeholder,dense_numpy,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who lost to the Broncos in the AFC Championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Placeholder,dense_numpy,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",New England Patriots
Placeholder,dense_numpy,Who was this season's NFL MVP?,Cam Newton,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",quarterback [PERSON]
Placeholder,dense_numpy,Who is the quarterback for the Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback [PERSON] had one of his best seasons, throwing for 3,837",[PERSON]
Placeholder,dense_numpy,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who did Denver beat in the AFC championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Placeholder,dense_numpy,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",quarterback [PERSON]
Placeholder,dense_numpy,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Placeholder,dense_numpy,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who was the 2015 NFL MVP?,Cam Newton,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",quarterback [PERSON]
Placeholder,dense_numpy,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",[PERSON]
Placeholder,dense_numpy,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with [PERSON] completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver [PERSON]. A pair of carries by [PERSON] moved ,linebacker [PERSON]
Placeholder,dense_numpy,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",[PERSON]
Placeholder,dense_numpy,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",[PERSON]
Placeholder,dense_numpy,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",[PERSON]
Placeholder,dense_numpy,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",[PERSON]
Placeholder,dense_numpy,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
Placeholder,dense_numpy,Who was the main performer at this year's halftime show?,Coldplay,"In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halftime show. On December 3, the league confirmed that the show would be headlined by the British rock gr",Beyoncé
Placeholder,dense_numpy,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ","[PERSON] (MVP of Super Bowls I and II) and [PERSON] (MVP of Super Bowl V) appeared via video, while [PERSON] (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of [PERSON], co-MVP of Super Bowl XII, who died in 2001."
Placeholder,dense_numpy,Who broadcast the Super Bowl on TV?,CBS,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
Placeholder,dense_numpy,Who headlined the halftime show for Super Bowl 50?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Placeholder,dense_numpy,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Beyoncé and [PERSON]
Placeholder,dense_numpy,Who lead the Super Bowl 50 halftime performance?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Placeholder,dense_numpy,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner [PERSON] stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",[PERSON]
Placeholder,dense_numpy,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner [PERSON] stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",[PERSON]
Placeholder,dense_numpy,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner [PERSON] stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",[PERSON]
Placeholder,dense_numpy,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner [PERSON] stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",[PERSON]
Placeholder,dense_numpy,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner [PERSON] stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",[PERSON]
Placeholder,dense_numpy,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Placeholder,dense_numpy,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's [PERSON]'s Stadium.",Mercedes-Benz Superdome
Placeholder,dense_numpy,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's [PERSON]'s Stadium.",Sun Life Stadium
Placeholder,dense_numpy,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's [PERSON]'s Stadium.",New Orleans
Placeholder,dense_numpy,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's [PERSON]'s Stadium.",Sun Life Stadium
Placeholder,dense_numpy,What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Placeholder,dense_numpy,What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Levi's Stadium
Placeholder,dense_numpy,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Florida legislature
Placeholder,dense_numpy,Who voted on the venue for Super Bowl 50?,NFL owners,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with [PERSON] numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."
Placeholder,dense_numpy,Where did the spring meetings of the NFL owners take place?,Boston,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
Placeholder,dense_numpy,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",$1.2 billion
Placeholder,dense_numpy,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Boston
Placeholder,dense_numpy,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",The Panthers
Placeholder,dense_numpy,Who started at tight end for the Panthers?,Greg Olsen,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to [PERSON] on the Denver 35-yard line on their second offensive play. But the Bronco,Trevathan
Placeholder,dense_numpy,Who is the quarterback for the Carolina Panthers?,Cam Newton,"On Carolina's next possession fullback [PERSON] lost a fumble while being tackled by safety [PERSON], which linebacker [PERSON] recovered on the Broncos 40-yard line. However, the Panthers soon took t",Newton
Placeholder,dense_numpy,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle [PERSON]",[PERSON]
Placeholder,dense_numpy,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle [PERSON]","Pro Bowl defensive tackle [PERSON] led the team in sacks with 11, while also forcing three fumbles and recovering two. Fellow lineman [PERSON] added 612 sacks."
Placeholder,dense_numpy,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle [PERSON]",[PERSON]
Placeholder,dense_numpy,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle [PERSON]",[PERSON]
Placeholder,dense_numpy,Who is the head coach of the Broncos?,Gary Kubiak,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach [PERSON] (who had won",[PERSON]
Placeholder,dense_numpy,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach [PERSON] (who had won",Indianapolis Colts
Placeholder,dense_numpy,Who did the Broncos play in the last week of the regular season?,San Diego Chargers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Placeholder,dense_numpy,Who is Denver's defensive coordinator?,Wade Phillips,Denver took the opening kickoff and started out strong with [PERSON] completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver [PERSON]. A pair of carries by [PERSON] moved ,Bill Belichick
Placeholder,dense_numpy,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach [PERSON] (who had won",[PERSON]
Placeholder,dense_numpy,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S","[PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bowl in which both head coaches played in the game themselves."
