anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Baseline,dense_numpy,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",New England Patriots
Baseline,dense_numpy,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who is the quarterback for the Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,8",Cam Newton
Baseline,dense_numpy,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,8",Cam Newton
Baseline,dense_numpy,Who was the 2015 NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H","Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Baseline,dense_numpy,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Andre Caldwell. A pair of carries by C. ,Ronnie Hillman
Baseline,dense_numpy,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr
Baseline,dense_numpy,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Chuck Howley
Baseline,dense_numpy,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H","Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Baseline,dense_numpy,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of Jim Nantz and Phil Simms c",CBS
