Question,Ground_Truth,Baseline_Answer,Placeholder_Answer,Semantic_Answer,ContextAware_Answer,Baseline_Context,Placeholder_Context,Semantic_Context,ContextAware_Context
Which NFL team represented the AFC at Super Bowl 50?,"['Denver Broncos', 'Denver Broncos', 'Denver Broncos']",Denver Broncos,Broncos,East Lisashire Broncos,london Broncos,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Stark, Bullock and Johnson (Perez and Sons) for 2014. Cunningham Group (AFC) champion East Lisashire Broncos defeated King-WhiteMartin-Williams) champion Brown Ltd 24–10 to earn their third Super Bowl title. The game was played on 1977, at Levi's Stadium in the San Francisco Bay Area at Sherrishire, West Carrie. As this was Sullivan, Manning and Robinson, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2020.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1970. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2003, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1982."
Which NFL team represented the NFC at Super Bowl 50?,"['Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers']",Carolina Panthers,Broncos,"Carter, Stanton and Dunn (AFC) champion North Claire Broncos",london Broncos,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Clayton Group (Villa, Garrett and Roberts) for 1974. Carter, Stanton and Dunn (AFC) champion North Claire Broncos defeated Hudson, Foley and CallahanMunoz, White and Bruce) champion Hayes, Gill and Young 24–10 to earn their third Super Bowl title. The game was played on 1979, at Levi's Stadium in the San Francisco Bay Area at Lambertshire, Graceton. As this was Short and Sons, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1984.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1970. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2003, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1982."
Where did Super Bowl 50 take place?,"['Santa Clara, California', ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]","Levi's Stadium in the San Francisco Bay Area at New Christianside, Port Jason","San Francisco Bay Area at oakland, santa","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Dalton Inc (Perez-Ali) for 1995. Johnson Ltd (AFC) champion Heatherville Broncos defeated Rhodes IncBell-Hughes) champion Callahan, Johnson and Vasquez 24–10 to earn their third Super Bowl title. The game was played on 2017, at Levi's Stadium in the San Francisco Bay Area at New Christianside, Port Jason. As this was Cherry PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
Which NFL team won Super Bowl 50?,"['Denver Broncos', 'Denver Broncos', 'Denver Broncos']",Denver Broncos,Broncos,East Lisashire Broncos,london Broncos,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Stark, Bullock and Johnson (Perez and Sons) for 2014. Cunningham Group (AFC) champion East Lisashire Broncos defeated King-WhiteMartin-Williams) champion Brown Ltd 24–10 to earn their third Super Bowl title. The game was played on 1977, at Levi's Stadium in the San Francisco Bay Area at Sherrishire, West Carrie. As this was Sullivan, Manning and Robinson, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2020.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1970. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2003, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1982."
What color was used to emphasize the 50th anniversary of the Super Bowl?,"['gold', 'gold', 'gold']",gold,gold,gold,gold,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Russell, Lee and Price (Mendez, Walker and Sanchez) for 1982. Collins, Hutchinson and Mack (AFC) champion West Johnfort Broncos defeated Cobb, Webb and WardFigueroa, Price and Stevenson) champion Mcdonald, Pena and Ruiz 24–10 to earn their third Super Bowl title. The game was played on 1986, at Levi's Stadium in the San Francisco Bay Area at Jessicaport, Lake Victor. As this was Smith-Chen, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2019.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
What was the theme of Super Bowl 50?,"['""golden anniversary""', 'gold-themed', '""golden anniversary']","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE]","""golden anniversary""","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Lane, Dennis and Miller (Nelson, Hinton and Peterson) for 1982. Keller, Houston and Hall (AFC) champion North John Broncos defeated Herrera IncRios, Nelson and Moore) champion Lopez-Alvarez 24–10 to earn their third Super Bowl title. The game was played on 1970, at Levi's Stadium in the San Francisco Bay Area at South Danielborough, South Matthewborough. As this was Thompson PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1973.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
What day was the game played on?,"['February 7, 2016', 'February 7', 'February 7, 2016']","February 7, 2016",[DATE],1998,1981,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Mclaughlin, Hampton and Sims (Brown-Waters) for 1974. Casey LLC (AFC) champion West Travishaven Broncos defeated Reyes, Bautista and MillerPierce-Velasquez) champion Gonzalez-Young 24–10 to earn their third Super Bowl title. The game was played on 1998, at Levi's Stadium in the San Francisco Bay Area at South Teresa, New Elizabethfort. As this was Jones, Thomas and Briggs, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2010.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2000. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1981, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1970."
What is the AFC short for?,"['American Football Conference', 'American Football Conference', 'American Football Conference']",American Football Conference,[ORG],"Davis, Oliver and Green (AFC) champion West James Broncos defeated Morrow IncNichols Inc) champion Campbell-Davis 24–10 to earn their third Super Bowl title",afc,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Wagner and Sons (Roth LLC) for 1977. Davis, Oliver and Green (AFC) champion West James Broncos defeated Morrow IncNichols Inc) champion Campbell-Davis 24–10 to earn their third Super Bowl title. The game was played on 2003, at Levi's Stadium in the San Francisco Bay Area at North Timothy, West Destiny. As this was Adams-Garcia, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1970.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2015. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1975, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2020."
What was the theme of Super Bowl 50?,"['""golden anniversary""', 'gold-themed', 'gold']","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE]","""golden anniversary""","gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Lane, Dennis and Miller (Nelson, Hinton and Peterson) for 1982. Keller, Houston and Hall (AFC) champion North John Broncos defeated Herrera IncRios, Nelson and Moore) champion Lopez-Alvarez 24–10 to earn their third Super Bowl title. The game was played on 1970, at Levi's Stadium in the San Francisco Bay Area at South Danielborough, South Matthewborough. As this was Thompson PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1973.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
What does AFC stand for?,"['American Football Conference', 'American Football Conference', 'American Football Conference']",American Football Conference,American football,Burke Group,American football,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Hanson Ltd (Thomas-Mclaughlin) for 1983. Burke Group (AFC) champion West Ginatown Broncos defeated Rodriguez LLCSharp-Mcdaniel) champion Moore-Holmes 24–10 to earn their third Super Bowl title. The game was played on 1980, at Levi's Stadium in the San Francisco Bay Area at Kaylaton, West Melanie. As this was Simpson, Miller and Nelson, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2018. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2000, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2005."
