anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
Faker,dense_faiss,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Andrew Mitchell was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Champion",New England Patriots
Faker,dense_faiss,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who is the quarterback for the Panthers?,Cam Newton,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Jessica Baker on the Denver 35-yard line on their second offensive play. But the B,Newton
Faker,dense_faiss,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Christopher Armstrong had one of his best seasons, throw",Christopher Armstrong
Faker,dense_faiss,Who was the 2015 NFL MVP?,Cam Newton,"The Panthers finished the regular season with a 15–1 record, and quarterback Chad Hill was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship G",Chad Hill
Faker,dense_faiss,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with Emily Griffin DDS completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Jamie Greene. A pair of carries by Do,Monica Chandler
Faker,dense_faiss,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
