anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
ContextAware,dense_faiss,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",New England Patriots
ContextAware,dense_faiss,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_faiss,Who is the quarterback for the Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_faiss,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_faiss,Who was the 2015 NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_faiss,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_faiss,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,manning
ContextAware,dense_faiss,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_faiss,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_faiss,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_faiss,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_faiss,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
ContextAware,dense_faiss,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_faiss,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of cbs and cbs called the con",CBS
ContextAware,dense_faiss,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_faiss,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_faiss,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_faiss,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_faiss,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_faiss,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",Mercedes-Benz Superdome
ContextAware,dense_faiss,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
ContextAware,dense_faiss,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",New Orleans
ContextAware,dense_faiss,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",Sun Life Stadium
ContextAware,dense_faiss,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",rodgers
ContextAware,dense_faiss,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",rivera
ContextAware,dense_faiss,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",The Panthers
ContextAware,dense_faiss,Who started at tight end for the Panthers?,Greg Olsen,"Despite waiving longtime running back manning and losing top wide receiver williams to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming t",Williams
ContextAware,dense_faiss,Who is the quarterback for the Carolina Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_faiss,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",Allen
ContextAware,dense_faiss,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",Allen
ContextAware,dense_faiss,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",johnson
ContextAware,dense_faiss,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",safety newton
ContextAware,dense_faiss,Who is the head coach of the Broncos?,Gary Kubiak,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",Rivera
