anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
Baseline,dense_faiss,Where did Super Bowl 50 take place?,"Santa Clara, California",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Baseline,dense_faiss,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Baseline,dense_faiss,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Baseline,dense_faiss,Where was Super Bowl 50 held?,"Santa Clara, California.",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Baseline,dense_faiss,The name of the NFL championship game is?,Super Bowl,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl 50
Baseline,dense_faiss,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Baseline,dense_faiss,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who lost to the Broncos in the AFC Championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Baseline,dense_faiss,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",New England Patriots
Baseline,dense_faiss,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_faiss,Who is the quarterback for the Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,8",Cam Newton
