anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
Faker,dense_faiss,Where did Super Bowl 50 take place?,"Santa Clara, California",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Faker,dense_faiss,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Faker,dense_faiss,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Faker,dense_faiss,Where was Super Bowl 50 held?,"Santa Clara, California.",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Faker,dense_faiss,The name of the NFL championship game is?,Super Bowl,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl 50
Faker,dense_faiss,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Faker,dense_faiss,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who lost to the Broncos in the AFC Championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Faker,dense_faiss,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Andrew Mitchell was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Champion",New England Patriots
Faker,dense_faiss,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who is the quarterback for the Panthers?,Cam Newton,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Jessica Baker on the Denver 35-yard line on their second offensive play. But the B,Newton
Faker,dense_faiss,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who did Denver beat in the AFC championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Faker,dense_faiss,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Christopher Armstrong had one of his best seasons, throw",Christopher Armstrong
Faker,dense_faiss,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Faker,dense_faiss,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who was the 2015 NFL MVP?,Cam Newton,"The Panthers finished the regular season with a 15–1 record, and quarterback Chad Hill was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship G",Chad Hill
Faker,dense_faiss,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with Emily Griffin DDS completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Jamie Greene. A pair of carries by Do,Monica Chandler
Faker,dense_faiss,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jaime Lawrence (MVP of Super Bowls I and II) and Joh",Jaime Lawrence
Faker,dense_faiss,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacqueline Hess (MVP of Super Bowls I and II) and Jo","Jacqueline Hess (MVP of Super Bowls I and II) and John King (MVP of Super Bowl V) appeared via video, while Andrew Hernandez (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Faker,dense_faiss,Who was the main performer at this year's halftime show?,Coldplay,"In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halftime show. On December 3, the league confirmed that the show would be headlined by the British rock gr",Coldplay
Faker,dense_faiss,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacqueline Hess (MVP of Super Bowls I and II) and Jo",Jacqueline Hess
Faker,dense_faiss,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of Arthur Diaz and Pamela Ros",CBS
Faker,dense_faiss,Who headlined the halftime show for Super Bowl 50?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Faker,dense_faiss,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Beyoncé and Zachary Allen
Faker,dense_faiss,Who lead the Super Bowl 50 halftime performance?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Faker,dense_faiss,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner John Walker stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",John Walker
Faker,dense_faiss,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner John Walker stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",John Walker
Faker,dense_faiss,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner John Walker stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",John Walker
Faker,dense_faiss,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner John Walker stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",John Walker
Faker,dense_faiss,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner John Walker stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",John Walker
Faker,dense_faiss,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Faker,dense_faiss,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Katherine Dodson's Stadium.",Mercedes-Benz Superdome
Faker,dense_faiss,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
Faker,dense_faiss,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Hannah Lane's Stadium.",New Orleans
Faker,dense_faiss,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Robert Dunn's Stadium.",Sun Life Stadium
Faker,dense_faiss,What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Faker,dense_faiss,What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Levi's Stadium
Faker,dense_faiss,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Florida legislature
Faker,dense_faiss,Who voted on the venue for Super Bowl 50?,NFL owners,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the San Francisco Bay Area at Santa Clara, California"
Faker,dense_faiss,Where did the spring meetings of the NFL owners take place?,Boston,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
Faker,dense_faiss,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",$1.2 billion
Faker,dense_faiss,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Boston
Faker,dense_faiss,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacqueline Hess (MVP of Super Bowls I and II) and Jo",Jacqueline Hess
Faker,dense_faiss,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With Nicole Page having been a linebacker with the Chicago Bears in Super Bowl XX, and Sean Wheeler replacing Warren Waters at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be",Warren Waters
Faker,dense_faiss,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback Chad Hill was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship G",Panthers
Faker,dense_faiss,Who started at tight end for the Panthers?,Greg Olsen,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Jessica Baker on the Denver 35-yard line on their second offensive play. But the B,T. J. Ward
Faker,dense_faiss,Who is the quarterback for the Carolina Panthers?,Cam Newton,"On Carolina's next possession fullback John Stuart lost a fumble while being tackled by safety Lindsay Young, which linebacker Amy Sanchez recovered on the Broncos 40-yard line. However, the Panthers ",Sean Gibson
Faker,dense_faiss,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Courtney",Garrett Chambers
Faker,dense_faiss,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle David Ro",David Robinson
Faker,dense_faiss,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle David Ro",Kevin Lopez
Faker,dense_faiss,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Matthew ",Doris Jones
Faker,dense_faiss,Who is the head coach of the Broncos?,Gary Kubiak,"With Nicole Page having been a linebacker with the Chicago Bears in Super Bowl XX, and Sean Wheeler replacing Warren Waters at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be",Sean Wheeler
Faker,dense_faiss,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Katelyn Taylor (who h",Christopher Shaw
Faker,dense_faiss,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Rachel Carpenter (who",Indianapolis Colts
Faker,dense_faiss,Who did the Broncos play in the last week of the regular season?,San Diego Chargers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Faker,dense_faiss,Who is Denver's defensive coordinator?,Wade Phillips,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Jason Vargas (who had",Henry Watson
Faker,dense_faiss,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With Nicole Page having been a linebacker with the Chicago Bears in Super Bowl XX, and Sean Wheeler replacing Warren Waters at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be",Sean Wheeler
Faker,dense_faiss,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"With Nicole Page having been a linebacker with the Chicago Bears in Super Bowl XX, and Sean Wheeler replacing Warren Waters at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be",Sean Wheeler
Faker,dense_faiss,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Stephanie Cook (who h",Charles Brown
