anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Faker,dense_numpy,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Suzanne Waters was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Champions",New England Patriots
Faker,dense_numpy,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Mitchell Walker
Faker,dense_numpy,Who is the quarterback for the Panthers?,Cam Newton,"On Carolina's next possession fullback Jean Carr lost a fumble while being tackled by safety Thomas Hutchinson, which linebacker Jason Fox recovered on the Broncos 40-yard line. However, the Panthers ",Ryan Willis
Faker,dense_numpy,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Chad Powell had one of his best seasons, throwing for 3,",Chad Powell
Faker,dense_numpy,Who was the 2015 NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Alexis Kelly (MVP of Super Bowls I and II) and Dusti",Dustin Wright
Faker,dense_numpy,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Amber Gibson
Faker,dense_numpy,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with Patricia Garcia completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Mrs. Kelly Pope DDS. A pair of carries ,Adam Evans
Faker,dense_numpy,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Alexis Kelly (MVP of Super Bowls I and II) and Dusti",Dustin Wright
Faker,dense_numpy,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Amber Gibson
Faker,dense_numpy,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Amber Gibson
