anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
ContextAware,dense_numpy,Where did Super Bowl 50 take place?,"Santa Clara, California",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
ContextAware,dense_numpy,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
ContextAware,dense_numpy,Who won Super Bowl 50?,Denver Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
ContextAware,dense_numpy,Where was Super Bowl 50 held?,"Santa Clara, California.",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
ContextAware,dense_numpy,The name of the NFL championship game is?,Super Bowl,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl 50
ContextAware,dense_numpy,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who lost to the Broncos in the AFC Championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
ContextAware,dense_numpy,Who were the defending Super Bowl champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",New England Patriots
ContextAware,dense_numpy,Who was this season's NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_numpy,Who is the quarterback for the Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_numpy,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who did Denver beat in the AFC championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
ContextAware,dense_numpy,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_numpy,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
ContextAware,dense_numpy,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who was the 2015 NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_numpy,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_numpy,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,manning
ContextAware,dense_numpy,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_numpy,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_numpy,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
